ages,sample_no,sample_index,mean_infor,mean_logfreq
9-15,100,53,3.3809420689317737,6.308685904272949
9-15,100,54,3.3248494656102814,6.27175696644632
9-15,100,55,3.315008746087713,6.269214343517104
9-15,100,56,3.3196976575094554,6.248355556969266
9-15,100,57,3.3303241338027227,6.270237144843025
9-15,100,58,3.3228601574745404,6.285096326488567
9-15,100,59,3.337564552660905,6.270066797056143
9-15,100,60,3.3280119243740605,6.287569419529296
9-15,100,61,3.2780307586916213,6.280940688044009
9-15,100,62,3.3220821417228263,6.272840369438177
9-15,100,63,3.3290502412347376,6.258231555065023
9-15,100,64,3.3409036656294053,6.276399468993987
9-15,100,65,3.351432732015844,6.289601768217305
9-15,100,66,3.3089337854656558,6.262601558358132
9-15,100,67,3.330728960138484,6.26596880849886
9-15,100,68,3.3149466480241934,6.295533406384696
9-15,100,69,3.3239503099448826,6.286159285521132
9-15,100,70,3.320454704426781,6.2747354929328285
9-15,100,71,3.354489208046377,6.286863710858708
9-15,100,72,3.3279761287517178,6.277504802502945
9-15,100,73,3.3261592944655547,6.295979097595717
9-15,100,74,3.306362443639421,6.290605352740319
9-15,100,75,3.305964014016185,6.270944768135684
9-15,100,76,3.359388719695134,6.305549212187386
9-15,100,77,3.313013903718652,6.266315231993039
9-15,100,78,3.331118511413254,6.271936699665058
9-15,100,79,3.299929747657805,6.273824278790445
9-15,100,80,3.35868719860498,6.301374469406007
9-15,100,81,3.313392800029145,6.258621338491781
9-15,100,82,3.337928385794929,6.268800929706983
9-15,100,83,3.323974802969161,6.289141960534244
9-15,100,84,3.3407372004005818,6.3094578307966325
9-15,100,85,3.3445671953934872,6.28185967494872
9-15,100,86,3.341870052059649,6.262469333302536
9-15,100,87,3.3109901463696785,6.279382287456268
9-15,100,88,3.349982191195101,6.282361098461251
9-15,100,89,3.337177319461707,6.273879616781
9-15,100,90,3.3216771427343383,6.289173915572419
9-15,100,91,3.333476329318202,6.285354859376605
9-15,100,92,3.3263551973878758,6.258535154763129
9-15,100,93,3.301541993878649,6.280419266775343
9-15,100,94,3.35510308316826,6.296139460168439
9-15,100,95,3.3248336139962142,6.29981096088172
9-15,100,96,3.329333941388097,6.288036058925569
9-15,100,97,3.3280862529685886,6.271789208639054
9-15,100,98,3.300279273650246,6.273025837583406
9-15,100,99,3.345048234024625,6.308855106595871
15-21,100,0,3.3813768921710663,6.3452660278589725
15-21,100,1,3.39886063624258,6.279123926840959
15-21,100,2,3.3604468526604654,6.267972291211662
15-21,100,3,3.3605956240989485,6.3044513610812585
15-21,100,4,3.3874942012617963,6.304175961550248
15-21,100,5,3.410143549054118,6.315879385096183
15-21,100,6,3.365119407480156,6.26520738394804
15-21,100,7,3.434630133083642,6.286042346886915
15-21,100,8,3.379778213929272,6.310660027403271
15-21,100,9,3.396094036254048,6.304095082690666
15-21,100,10,3.4077603256727578,6.268344284557464
15-21,100,11,3.3590187310024566,6.29493017959009
15-21,100,12,3.3877690959479105,6.283123949088896
15-21,100,13,3.380853811050708,6.279849709809182
15-21,100,14,3.387424189897492,6.302543806537512
15-21,100,15,3.384458510541364,6.27780314979458
15-21,100,16,3.391284057343729,6.29857625580564
15-21,100,17,3.407454456747689,6.300072039123444
15-21,100,18,3.378865784324926,6.280539987205258
15-21,100,19,3.3669374147396214,6.26825594082568
15-21,100,20,3.386119222581668,6.287793144028124
15-21,100,21,3.3670071292638397,6.303679866099183
15-21,100,22,3.361295628959605,6.2916010715117325
15-21,100,23,3.3934492388451702,6.273913508623044
15-21,100,24,3.3947353968376457,6.28899772857332
15-21,100,25,3.3560676974221293,6.271746661025361
15-21,100,26,3.3788844733371377,6.242143378701967
15-21,100,27,3.344281628507951,6.243326097926723
15-21,100,28,3.355789341287988,6.273946057593197
15-21,100,29,3.3619833776786483,6.277988548798792
15-21,100,30,3.400146173993666,6.262059693427135
15-21,100,31,3.386524311985718,6.284679893829081
15-21,100,32,3.3869387300988603,6.268189711179815
15-21,100,33,3.384171535847225,6.277799768365721
15-21,100,34,3.35566461335484,6.276536999156305
15-21,100,35,3.393670445443784,6.282885256581834
15-21,100,36,3.3647178955635217,6.309103030660269
15-21,100,37,3.386091484981877,6.2979842095244
15-21,100,38,3.408507401479571,6.277317014681276
15-21,100,39,3.404957365853297,6.296214695802389
15-21,100,40,3.417073966502517,6.298611024334899
15-21,100,41,3.3774968366766736,6.295216319464152
15-21,100,42,3.383909104963261,6.270118938709033
15-21,100,43,3.3816532388246894,6.278426158921765
15-21,100,44,3.380085104286389,6.286457898206799
15-21,100,45,3.4049119832724672,6.291213333305272
15-21,100,46,3.352829158742469,6.282409328368715
15-21,100,47,3.405814186566095,6.2863191307826325
15-21,100,48,3.3893563955869044,6.267624539399742
15-21,100,49,3.3520126243222026,6.279547731854938
15-21,100,50,3.4051422844913777,6.311488260635377
15-21,100,51,3.373031348081753,6.266239152298949
15-21,100,52,3.3655618890540966,6.291012667286607
15-21,100,53,3.3798348736868906,6.3070537782658604
15-21,100,54,3.390940817000961,6.271394713855974
15-21,100,55,3.3606106880868656,6.270625991915869
15-21,100,56,3.3591347573917427,6.277932427564966
15-21,100,57,3.3858722220254247,6.263495342725577
15-21,100,58,3.389624474123261,6.283536581815636
15-21,100,59,3.376587422000346,6.250617874316845
15-21,100,60,3.384539860899172,6.264456993593257
15-21,100,61,3.373650106871021,6.29398887003926
15-21,100,62,3.374955262907226,6.271039164707645
15-21,100,63,3.3502489258442893,6.273789872808424
15-21,100,64,3.415050465981335,6.307333911041632
15-21,100,65,3.3826103495482824,6.321809503815868
15-21,100,66,3.391343821129145,6.276523941714313
15-21,100,67,3.3711612915081206,6.252798201695445
15-21,100,68,3.362181450087559,6.290098241187919
15-21,100,69,3.3446986247062016,6.270415941393222
15-21,100,70,3.364156958356816,6.28853511929727
15-21,100,71,3.379579634980626,6.296032346660385
15-21,100,72,3.409136678839636,6.2841257385061455
15-21,100,73,3.384720960924154,6.299125426398287
15-21,100,74,3.4153900344760144,6.29153609779786
15-21,100,75,3.358662240425053,6.270761902876883
15-21,100,76,3.3851244695506737,6.290504912493973
15-21,100,77,3.381671953946624,6.282499371356216
15-21,100,78,3.3729091940838174,6.287726944094674
15-21,100,79,3.410188831707411,6.261667001311855
15-21,100,80,3.336149512097964,6.274020445645919
15-21,100,81,3.40195734180896,6.295730306142735
15-21,100,82,3.4041228379202835,6.272853411847331
15-21,100,83,3.4073808189119794,6.292947420827636
15-21,100,84,3.382770360726882,6.280633346849019
15-21,100,85,3.3832293487624288,6.261565061041706
15-21,100,86,3.370934707430185,6.306714326885426
15-21,100,87,3.373465133840046,6.274515239266063
15-21,100,88,3.430354160682831,6.296083066374539
15-21,100,89,3.364247870986381,6.295008196206384
15-21,100,90,3.3789908309675134,6.288924655247918
15-21,100,91,3.384757380468746,6.276372340814555
15-21,100,92,3.394832177797947,6.283104308874074
15-21,100,93,3.3841919134806187,6.297294573399664
15-21,100,94,3.34448424252594,6.292232438720601
15-21,100,95,3.379163496302728,6.285705339546284
15-21,100,96,3.3884642642289053,6.270628314712437
15-21,100,97,3.373424057340383,6.273181519122321
15-21,100,98,3.382255448476869,6.279351151440349
15-21,100,99,3.36165770824148,6.294050821003512
21-27,100,0,3.394429075687839,6.290081382612635
21-27,100,1,3.4047152053555005,6.285712536948195
21-27,100,2,3.4022264514389664,6.300256584575989
21-27,100,3,3.401720289230018,6.2744383822017
21-27,100,4,3.401095245888921,6.272800400872387
21-27,100,5,3.430499912886418,6.283887790309068
21-27,100,6,3.4082894831051336,6.307004741857217
21-27,100,7,3.430153171898521,6.287120264867449
21-27,100,8,3.3739292762048354,6.288697575809244
21-27,100,9,3.432907989408093,6.2804161314733
21-27,100,10,3.389853653752801,6.322244578460476
21-27,100,11,3.4093066901817948,6.297440235211366
21-27,100,12,3.404858054080968,6.291462739384257
21-27,100,13,3.4410459333828958,6.288945728816495
21-27,100,14,3.416526896491769,6.316975391921702
21-27,100,15,3.407094687177979,6.294324496826861
21-27,100,16,3.4005507029343387,6.2969281319124
21-27,100,17,3.423098250762126,6.30725903087552
21-27,100,18,3.4017062816409727,6.266105740388036
21-27,100,19,3.4187817016569686,6.273653512111291
21-27,100,20,3.4303192071648803,6.29066343532179
21-27,100,21,3.435343168304663,6.315176109052371
21-27,100,22,3.42721655543663,6.306755293848084
21-27,100,23,3.4334288284636094,6.303378724718498
21-27,100,24,3.406058620949768,6.272105493621536
21-27,100,25,3.431290242730709,6.323249764663001
21-27,100,26,3.3968018883580573,6.281413366697624
21-27,100,27,3.412721344231405,6.294978848000072
21-27,100,28,3.450184092225451,6.311103152668253
21-27,100,29,3.433481469800147,6.296947061774246
21-27,100,30,3.401009331846082,6.295372680351095
21-27,100,31,3.416806837588153,6.309351392894945
21-27,100,32,3.387289525351596,6.280141033562061
21-27,100,33,3.423675867404768,6.298408704548371
21-27,100,34,3.4079161575299177,6.28514609930293
21-27,100,35,3.4284304050974117,6.297679868124532
21-27,100,36,3.432727602497228,6.292477002908917
21-27,100,37,3.415185210862475,6.3067436664632375
21-27,100,38,3.399110104341541,6.284044728665242
21-27,100,39,3.41449611916839,6.303202386121022
21-27,100,40,3.394071601777505,6.286755226791969
21-27,100,41,3.365895342865837,6.299032789187647
21-27,100,42,3.441442220687378,6.309490556253425
21-27,100,43,3.406211065060881,6.296872801536331
21-27,100,44,3.4043854540198515,6.291021522894011
21-27,100,45,3.4224186820219638,6.289545731442675
21-27,100,46,3.4140808709361328,6.293913671668919
21-27,100,47,3.4065243139823758,6.310735828524008
21-27,100,48,3.435851992358116,6.299375499362762
21-27,100,49,3.391924934195597,6.307707498771343
21-27,100,50,3.4239041559006136,6.282082766728716
21-27,100,51,3.401392078163631,6.288164412141464
21-27,100,52,3.410803247718972,6.291012521409299
21-27,100,53,3.4006962334485804,6.2858188252805824
21-27,100,54,3.4420110029839406,6.273689202734991
21-27,100,55,3.395011552086576,6.307401393244005
21-27,100,56,3.3937264185317546,6.265947956791662
21-27,100,57,3.4461220004179847,6.293079639974984
21-27,100,58,3.415725681494585,6.296780961648646
21-27,100,59,3.393814841755341,6.290402747158924
21-27,100,60,3.414752485737956,6.265632053989302
21-27,100,61,3.3943705253903884,6.293566968140356
21-27,100,62,3.4321166920234525,6.289007461270429
21-27,100,63,3.394602092379293,6.318847672342718
21-27,100,64,3.370474813301955,6.253292721450337
21-27,100,65,3.398873098707804,6.275908421117458
21-27,100,66,3.417177554991309,6.261031259896488
21-27,100,67,3.385130746830089,6.293071518872646
21-27,100,68,3.441280514663589,6.301365593001338
21-27,100,69,3.404040783088452,6.282397831919767
21-27,100,70,3.430261177087215,6.28651666814954
21-27,100,71,3.400404406110052,6.276655006830856
21-27,100,72,3.4215107812032906,6.302060384136706
21-27,100,73,3.422000104908516,6.313138917170089
21-27,100,74,3.386644096321624,6.308589869043086
21-27,100,75,3.4099935070242786,6.308041409461929
21-27,100,76,3.4268417322130067,6.285357719661849
21-27,100,77,3.403054763677169,6.303754323123159
21-27,100,78,3.3772338624843647,6.27429557130794
21-27,100,79,3.4316582425149784,6.307801668378288
21-27,100,80,3.410715218263746,6.314555382699511
21-27,100,81,3.4199395417405376,6.330701188749655
21-27,100,82,3.446088123129246,6.309299165774313
21-27,100,83,3.409804471300013,6.2756243929792825
21-27,100,84,3.402663604238568,6.284565753606203
21-27,100,85,3.3969328347140504,6.272357071449989
21-27,100,86,3.4193728366867098,6.309712669311567
21-27,100,87,3.4365081686502363,6.331833823532787
21-27,100,88,3.398424593870786,6.279684265459815
21-27,100,89,3.3844921401602983,6.283398921845799
21-27,100,90,3.428387451137829,6.322547113169805
21-27,100,91,3.4045207194409484,6.290494819289308
21-27,100,92,3.422007855070929,6.300166176051471
21-27,100,93,3.3801660182106046,6.300696428357112
21-27,100,94,3.367280902960895,6.277743673166311
21-27,100,95,3.4291334582081423,6.305620205054374
21-27,100,96,3.4047583918891604,6.317536053003191
21-27,100,97,3.421016464455478,6.30916713104946
21-27,100,98,3.414661531142517,6.284323582307065
21-27,100,99,3.410331060497796,6.284550382007189
27-33,100,0,3.388025228158332,6.307365127604473
27-33,100,1,3.422062935817525,6.285522714051164
27-33,100,2,3.476799871456057,6.312128575520874
27-33,100,3,3.4203598654150373,6.312491197724415
27-33,100,4,3.4170647984226794,6.286437662444124
27-33,100,5,3.451480361399604,6.282829377277956
27-33,100,6,3.427190404677082,6.310423365321738
27-33,100,7,3.4226832432887524,6.284234446424409
27-33,100,8,3.4142760499358773,6.287015204192829
27-33,100,9,3.43518421515505,6.3100325951054055
27-33,100,10,3.4197653807906114,6.307009760378944
27-33,100,11,3.472885638886173,6.283758077629586
27-33,100,12,3.505874093297168,6.317799011739493
27-33,100,13,3.4409463636637376,6.270664069218007
27-33,100,14,3.4657966873527077,6.288760912633093
27-33,100,15,3.418775238240962,6.282624617080811
27-33,100,16,3.469817143513895,6.286385638170498
27-33,100,17,3.4188874610890347,6.323448388903986
27-33,100,18,3.424499029781163,6.27889847565062
27-33,100,19,3.4329812371093515,6.284369229359292
27-33,100,20,3.388283901249204,6.293678323747303
27-33,100,21,3.435634853786908,6.289106042344423
27-33,100,22,3.3973857069478743,6.292047794307484
27-33,100,23,3.4479596651896824,6.281139616885241
27-33,100,24,3.4030999964382262,6.26496086963866
27-33,100,25,3.431021979394484,6.302143799706606
27-33,100,26,3.425520078881769,6.29126749858892
27-33,100,27,3.442522704254149,6.2931552858382975
27-33,100,28,3.433863463624219,6.294268915771914
27-33,100,29,3.424298152966893,6.295066708996738
27-33,100,30,3.434577253838267,6.292494283782345
27-33,100,31,3.4338534802250256,6.297426120579274
27-33,100,32,3.451115648145315,6.302136329547997
27-33,100,33,3.477376597923242,6.31182771759539
27-33,100,34,3.4520252374732934,6.296435182343104
27-33,100,35,3.4559320841979884,6.288244299358508
27-33,100,36,3.4271534924755507,6.297320539087183
27-33,100,37,3.4230231263008597,6.273948884826278
27-33,100,38,3.4857087799986983,6.2923879047674935
27-33,100,39,3.409288608948919,6.293760878187258
27-33,100,40,3.391156256775493,6.290099747997795
27-33,100,41,3.4458026660170105,6.291068671229305
27-33,100,42,3.4403376075901724,6.302176493525163
27-33,100,43,3.416044245780765,6.272075702876236
27-33,100,44,3.443984416775418,6.308864038309104
27-33,100,45,3.469497241064032,6.305302198245696
27-33,100,46,3.45175095802321,6.276698807121258
27-33,100,47,3.425292960316669,6.290711097579391
27-33,100,48,3.423571199210869,6.290068198495388
27-33,100,49,3.4598525618502545,6.296634754010578
27-33,100,50,3.442792398321179,6.282120225965387
27-33,100,51,3.453200301890156,6.315321653650418
27-33,100,52,3.4465551942381496,6.300608132131701
27-33,100,53,3.4589303810307443,6.296403362367698
27-33,100,54,3.4184835836942464,6.258004674303825
27-33,100,55,3.4061357240996557,6.270158444054036
27-33,100,56,3.4149077185684056,6.2889726429078285
27-33,100,57,3.4107601684630167,6.257539127030064
27-33,100,58,3.408886988860165,6.304510774426209
27-33,100,59,3.428879526670732,6.3116269055329175
27-33,100,60,3.3996117881298877,6.29541858513684
27-33,100,61,3.4271728289423176,6.2989208041562055
27-33,100,62,3.4160779801257237,6.275859204426711
27-33,100,63,3.4169492343503283,6.292678278441706
27-33,100,64,3.4481978272190803,6.296414041145671
27-33,100,65,3.414064802380332,6.314014997388432
27-33,100,66,3.4382452032890525,6.271706763794517
27-33,100,67,3.406717809499776,6.321556185953448
27-33,100,68,3.435253033609498,6.283828494982446
27-33,100,69,3.453035643102372,6.292722186739828
27-33,100,70,3.4387735290269665,6.338563167656074
27-33,100,71,3.438353420485187,6.289227911920219
27-33,100,72,3.391176754043721,6.290461633439956
27-33,100,73,3.4249697756945903,6.309676168507518
27-33,100,74,3.443698225771674,6.322842339859314
27-33,100,75,3.437138621848444,6.286288150024983
27-33,100,76,3.4013909548085177,6.29564264286108
27-33,100,77,3.4302319126188743,6.292743533638628
27-33,100,78,3.3913692888535154,6.290283088613863
27-33,100,79,3.431530708425845,6.282378978688699
27-33,100,80,3.420339504959533,6.285712533746395
27-33,100,81,3.446138498540582,6.297454178420392
27-33,100,82,3.3766501611713404,6.325002682933492
27-33,100,83,3.439853438506248,6.303872004808905
27-33,100,84,3.396142512421251,6.324896935477738
27-33,100,85,3.423569721040233,6.266555406720745
27-33,100,86,3.420745978972526,6.284330269889876
27-33,100,87,3.401023105182661,6.28891089859144
27-33,100,88,3.443697176811557,6.29170615035514
27-33,100,89,3.41306512473264,6.293402059355852
27-33,100,90,3.4483896893200936,6.306989345580633
27-33,100,91,3.438969325889657,6.316557111363913
27-33,100,92,3.4357772212099684,6.294303720515148
27-33,100,93,3.41476426203978,6.310703762439399
27-33,100,94,3.4181644506726583,6.279351412791776
27-33,100,95,3.3997086065545123,6.2851172230497365
27-33,100,96,3.445257687911458,6.268191598437015
27-33,100,97,3.42477305588472,6.275847823166811
27-33,100,98,3.4167287389659737,6.282973663575961
27-33,100,99,3.460466759116891,6.2992807897048655
33-39,100,0,3.4117991779766044,6.28035902933828
33-39,100,1,3.3842883131995225,6.264743189691012
33-39,100,2,3.3888689908189877,6.285622966853323
33-39,100,3,3.375462787026513,6.293889970713959
33-39,100,4,3.40692485870303,6.290659950847593
33-39,100,5,3.395286805853074,6.294559724563113
33-39,100,6,3.38375815387456,6.28610762718069
33-39,100,7,3.4171135254964544,6.298107228997904
33-39,100,8,3.400877336502003,6.31415669771892
33-39,100,9,3.4152860814698878,6.300342155257899
33-39,100,10,3.4001124835667884,6.310488772591078
33-39,100,11,3.4050062130780647,6.304277944268807
33-39,100,12,3.374895850145484,6.3077153192045365
33-39,100,13,3.3869103007158903,6.305457901927242
33-39,100,14,3.375231365671629,6.288914931565881
33-39,100,15,3.399646863174078,6.302386287919656
33-39,100,16,3.407453654981764,6.2981122786620976
33-39,100,17,3.3282817551849577,6.283849914989032
33-39,100,18,3.40772121081968,6.292932061754208
33-39,100,19,3.3935245931701417,6.295069970373233
33-39,100,20,3.387268477998035,6.29502607554937
33-39,100,21,3.3905920555957776,6.295346998052698
33-39,100,22,3.3810792848348306,6.305200330409191
33-39,100,23,3.3870670644445853,6.273318610063294
33-39,100,24,3.4152165669772234,6.286968612105427
33-39,100,25,3.3991386220835205,6.301268828176607
33-39,100,26,3.4077738517394875,6.291201002249148
33-39,100,27,3.419052386541431,6.294768712683486
33-39,100,28,3.361804347175561,6.302810820067439
33-39,100,29,3.4259313119943107,6.3057896282529535
33-39,100,30,3.393895697134575,6.27826692873017
33-39,100,31,3.446137750446445,6.31918872105166
33-39,100,32,3.398609741943897,6.332688790090617
33-39,100,33,3.408150148287075,6.290567320277581
33-39,100,34,3.391814737513477,6.273669319077044
33-39,100,35,3.3841156989453425,6.272422411783295
33-39,100,36,3.38133086467412,6.303262215946618
33-39,100,37,3.4065847572533148,6.28077873941541
33-39,100,38,3.416748845111851,6.331666533958912
33-39,100,39,3.3872968989946246,6.291089106039434
33-39,100,40,3.3839818626278486,6.295571079979945
33-39,100,41,3.366438900265652,6.26845458729453
33-39,100,42,3.4001090643334986,6.2873442545457445
33-39,100,43,3.4197846063322417,6.2996223581676825
33-39,100,44,3.3905958937199427,6.294138598393952
33-39,100,45,3.385069795956091,6.326042761471806
33-39,100,46,3.3797028892683425,6.325526937466764
33-39,100,47,3.3942260449159454,6.307664325290388
33-39,100,48,3.40496122109341,6.264868553043331
33-39,100,49,3.3951984382474536,6.304389661046464
33-39,100,50,3.384813770121917,6.296366211550042
33-39,100,51,3.4354642341538866,6.316671091466303
33-39,100,52,3.3653487592002,6.3038649925157815
33-39,100,53,3.378490815345476,6.271646453804989
33-39,100,54,3.3913010473379344,6.334380123481028
33-39,100,55,3.371665659385365,6.328245511122435
33-39,100,56,3.3776725251178137,6.275324694162902
33-39,100,57,3.440931022003672,6.294312886406763
33-39,100,58,3.417424936783411,6.304981777017329
33-39,100,59,3.409446661247037,6.297202859952914
33-39,100,60,3.354995951246105,6.277473695864743
33-39,100,61,3.400135170277873,6.317355312474768
33-39,100,62,3.402861532750832,6.3105632458186935
33-39,100,63,3.385471238110516,6.283328392257759
33-39,100,64,3.401605695747327,6.303422080019438
33-39,100,65,3.366922312454978,6.283949743885072
33-39,100,66,3.407419971985511,6.294488696962429
